EV; HR; LT; LG; NV; VL; NL; DG; SV; DT
105;20200213225522;-19.821788;-43.948892;20303;0;558;227;1;14657
105;20200213225356;-19.807060;-43.979830;11122;0;1905;0;0;4117
105;20200213225543;-19.958748;-43.929383;30498;0;105;0;2;0
105;20200213225530;-19.908616;-43.958212;40423;30;5979;298;1;20746
105;20200213225355;-19.800838;-43.977992;10954;0;1905;0
105;20200213225355;-19.828682;-43.969328;11078;26;7044;41;1;11517
105;20200213225526;-19.814380;-43.960277;10026;28;490;302;1;32133
105;20200213225529;-19.873196;-43.944038;40706;21;700;80;1;13888
105;20200213225525;-19.920561;-43.937635;40268;44;326;330;1;15290
105;20200213225458;-19.808936;-43.969803;10778;23;550;281;1;40653
105;20200213225528;-19.813222;-44.005285;20387;31;6808;151;1;10359
105;20200213225353;-19.945251;-43.989006;30988;0;107;0;0;2637
105;20200213225526;-19.800418;-43.978810;10341;0;522;0;0;0
105;20200213225550;-19.822605;-43.953776;10679;4;5777;219;1;1081
105;20200213225551;-19.876457;-43.907242;20767;0;821;119;0;6607
105;20200213225523;-19.864035;-43.928036;11007;1;810;6;1;11236
105;20200213225527;-19.807048;-43.979793;11138;0;3747;0;0;8781
105;20200213225355;-19.863718;-43.926401;40189;0;821;0;2;22474
105;20200213225528;-19.830241;-44.013421;10769;0;5620;0
105;20200213225522;-19.944725;-43.988715;30424;0;66;0;0;2609
105;20200213225533;-19.830491;-44.013936;10771;0;5620;0;0;7400
105;20200213225359;-19.920038;-43.996903;30897;0;677;0;0;2798
105;20200213225336;-19.875066;-43.908255;10460;0;2657;0;0;3769
105;20200213225527;-19.929855;-43.922425;10568;13;712;42;1;5936
105;20200213225357;-19.909336;-43.895178;20243;0;612;0;0;2221
105;20200213225525;-20.017534;-44.022165;30228;20;260;222;1;5941
105;20200213225519;-19.861494;-43.920693;20559;42;5477;63;0;421
105;20200213225528;-19.991934;-44.018035;30767;31;207;256;1;30709
105;20200213225358;-19.988035;-44.034237;30791;0;3138;0;0;16
105;20200213225526;-19.926314;-44.012960;30675;0;3357;358;2;23462
105;20200213225528;-19.873925;-43.909569;20634;0;6762;0;0;8454
105;20200213225530;-19.856036;-44.002889;10990;9;299;302;1;31689
105;20200213225358;-19.830562;-44.013673;11021;0;5567;0;0;1462
105;20200213225522;-19.926432;-43.937845;20907;31;588;193;1;8001
105;20200213225524;-19.921403;-43.951026;10819;24;749;102;2;3905
105;20200213225546;-19.924149;-43.942767;30973;0;643;190;1;8375
105;20200213225528;-19.881167;-43.951329;30594;48;952;161;1;6826
105;20200213235456;-19.906005;-44.017193;40748;0;364;0;0;0
105;20200213225525;-19.993369;-43.989907;30677;0;281;0;1;6651
105;20200213225526;-19.892623;-43.983977;11103;0;303;0;1;1045
105;20200213225528;-19.922301;-43.963365;30912;21;97;106;1;2970
105;20200213225549;-19.919994;-43.945564;20650;3;2374;280;2;9186
105;20200213225529;-19.984491;-44.031069;30315;16;266;348;1;2809
105;20200213225358;-19.964682;-43.998444;30934;43;206;147;1;28885
105;20200213225528;-19.838599;-43.936715;30585;0;3740;0;0;5518
105;20200213225524;-19.809510;-43.969415;10871;0;521;275;1;0
105;20200213225531;-19.969002;-43.992169;30447;34;238;198;1;36799
105;20200213225526;-19.945181;-43.989134;31053;0;66;0;0;2944
105;20200213225528;-19.931313;-43.938387;30929;17;7081;210;1;11941
105;20200213225527;-19.918805;-43.889226;20655;0;576;0;0;7824
105;20200213225354;-19.874042;-43.909711;10075;0;679;0;0;14349
105;20200213225526;-19.916248;-43.935082;40477;0;671;0;1;7343
105;20200213225528;-19.874737;-43.908467;20241;4;763;295;0;6309
105;20200213225354;-19.863551;-43.920834;20795;0;721;0;0;11044
105;20200213225515;-19.963399;-43.987786;30188;0;1115;0;0;6069
105;20200213225523;-19.981821;-43.949296;30364;50;5713;208;1;26055
105;20200213225531;-19.887649;-43.893362;40639;34;2374;258;1;19979
105;20200213225358;-19.992947;-44.040569;30553;0;207;0;1;31560
105;20200213225358;-19.875344;-43.908459;20506;0;4023;0;0;24046
105;20200213225527;-19.919696;-43.997474;11030;0;7419;0;0;12624
105;20200213225357;-19.864550;-43.894463;20691;0;5477;0;0;5980
105;20200213225400;-19.885898;-43.980129;40664;0;595;0
105;20200213225526;-19.925403;-43.991860;20802;19;1582;132;1;1677
105;20200213225528;-19.962028;-43.989451;31024;0;1702;178;0;5798
105;20200213225528;-19.919132;-43.938516;30426;24;66;53;1;9889
105;20200213225525;-19.910635;-44.001833;40784;17;357;353;1;25816
105;20200213225524;-19.841324;-43.967594;10721;29;495;11;1;26107
105;20200213225530;-19.888161;-43.950724;10747;44;3740;148;1;9235
105;20200213225529;-19.912181;-43.939787;11145;25;608;305;1;11385
105;20200213225525;-19.918070;-43.936605;20390;1;79;214;2;9916
105;20200213225525;-19.897838;-43.947816;40553;47;5559;321;1;13616
105;20200213225243;-19.865513;-44.016494;40780;30;357;311;1;31788
105;20200213225507;-19.919656;-43.995684;40722;0;737;197;2;20178
105;20200213225526;-19.963925;-43.963988;30583;0;952;0;0;1927
105;20200213225522;-19.852196;-43.929083;20312;22;3687;83;1;2448
105;20200213225530;-19.971357;-43.965413;31013;1;660;169;1;22746
105;20200213225358;-19.874107;-43.909848;20455;0;763;0;0;6855
105;20200213225526;-19.809976;-43.969605;10442;0;1911;0;1;12850
105;20200213225529;-19.923461;-43.936026;40755;29;93;149;1;6204
105;20200213225528;-19.853453;-43.998262;11042;43;1058;342;0;3199
105;20200213225531;-19.893629;-43.950046;20498;47;5675;163;1;6407
105;20200213225530;-19.800946;-43.935745;10855;19;6844;36;1;4502
105;20200213225357;-19.837876;-43.935898;10751;0;5559;0;0;8549
105;20200213225529;-19.863922;-43.894354;30279;0;648;0;0;12272
105;20200213225357;-19.945189;-43.988928;30389;0;2557;0;0;5582
105;20200213225530;-19.914016;-43.996795;40600;41;358;125;1;6291
105;20200213225526;-19.864373;-43.893385;20578;0;5547;0;0;5392
105;20200213225529;-19.889198;-43.936007;40665;24;594;185;1;8588
105;20200213225526;-19.944273;-43.961652;30708;0;81;0;1;3594
105;20200213225531;-19.995063;-44.006398;30725;33;3995;345;1;11523
105;20200213225526;-19.838529;-43.936733;10794;0;5284;0;0;4411
105;20200213225358;-19.963557;-43.963862;30877;0;5286;0;0;4326
105;20200213225529;-19.887091;-43.969010;10989;43;299;317;1;25924
105;20200213225355;-19.851715;-43.927964;20509;0;1138;0
105;20200213225520;-19.945387;-43.988898;30784;0;3357;0;0;20582
105;20200213225551;-19.924757;-43.928035;20310;36;695;69;2;13313
105;20200213225528;-19.931374;-43.984977;30951;37;207;76;1;11729
105;20200213225226;-19.930164;-43.960117;30921;0;353;0;2;7069
105;20200213225542;-19.962080;-43.989095;30959;0;1066;0;0;14213
105;20200213225359;-19.875366;-43.909361;20333;0;2956;0
105;20200213225330;-19.970438;-43.973906;40353;26;660;262;2;4359
105;20200213225330;-19.875354;-43.909396;20021;0;619;0;0;3954
105;20200213225457;-19.978743;-43.980108;30882;0;1066;0;2;23784
105;20200213225524;-19.851679;-43.889246;20037;23;1625;34;1;10153
105;20200213225526;-19.939840;-43.939622;30803;5;43;281;2;3566
105;20200213225359;-19.838018;-43.936295;10908;0;599;0;0;5767
105;20200213225529;-19.961292;-44.013613;11142;32;821;307;2;2292
105;20200213225526;-19.909207;-43.895196;20540;0;6940;73;0;9987
105;20200213225523;-20.020508;-44.028834;30711;0;245;0;0;5188
105;20200213225529;-19.929304;-43.976750;40319;7;962;261;1;25370
105;20200213225529;-19.797286;-44.012799;10788;0;495;0;0;5392
105;20200213225531;-19.845688;-43.887340;10521;8;3695;197;1;16149
105;20200213225357;-19.829881;-44.013332;10946;0;293;0;0;1562
105;20200213225530;-19.904368;-44.009712;40638;0;2374;84;1;1930
105;20200213225328;-19.920215;-43.955501;40803;28;329;127;1;11688
105;20200213225401;-19.806880;-43.979495;11128;0;3757;0;0;8016
105;20200213225358;-19.952973;-43.970153;30804;0;90;0
105;20200213225529;-19.844535;-43.932874;10832;12;502;341;1;31847
105;20200213225525;-19.869319;-43.981286;10945;9;296;354;1;26852
105;20200213225526;-19.870932;-44.010744;40731;0;7121;0;0;765
105;20200213225527;-19.935785;-43.931105;30908;26;660;61;2;16235
105;20200213225526;-19.944352;-43.990012;20334;11;639;43;2;2003
105;20200213225526;-19.860850;-43.974712;10825;0;402;0;2;20859
105;20200213225525;-19.821751;-43.947220;11013;0;3755;0;1;7699
105;20200213225528;-19.891431;-43.924306;20909;25;588;127;1;17492
105;20200213225359;-19.902273;-43.963884;10347;0;877;0
105;20200213225500;-19.900987;-44.024925;40745;0;366;0;1;28298
105;20200213225343;-19.874434;-43.909818;10356;0;1629;0;0;5630
105;20200213225528;-19.796824;-44.011344;40760;0;3638;0;0;13630
105;20200213225531;-19.921838;-43.937774;40284;19;746;95;2;3981
105;20200213225500;-19.822268;-43.946942;10585;0;1921;0;1;12054
105;20200213225526;-19.973452;-44.020974;30861;1;987;282;1;29826
105;20200213225528;-19.945204;-43.988936;30436;0;107;0;0;2541
105;20200213225524;-19.926692;-43.934254;20484;43;5564;288;1;13562
105;20200213225320;-19.863047;-43.920932;20648;0;2118;0;0;13377
